SPECIES	ORDER	FAMILY	KN_KS_PAML	Trend	Extinct	StatusRL	Criteria	BodyMass_g	Status01	SPECIES_K	DN_DS	T	DN	DS	N_dN	S_dS	lnDN_DS	Status01_2	Status01_3	Status01_4	lnBM_g
Pongo_abelii	PRIMATES	HOMINIDAE	0.0765	decreasing	living	CR	A2cd	56750	1	Pongo_abelii	0.0819	0.1580	0.0120	0.1465	489.4000	92.7000	-2.502256288	1	1	1	10.94641094
Gorilla_gorilla	PRIMATES	HOMINIDAE	0.4422	decreasing	living	CR	A4cde	124251	1	Gorilla_gorilla	0.0661	0.2910	0.0184	0.2783	929.6000	142.1000	-2.716586532	1	1	1	11.73005899
Rhinoceros_sondaicus	PERISSODACTYLA	RHINOCEROTIDAE	0.0619	unknown	living	CR	"C2a(i);D"	1750000	1	Rhinoceros_sondaicus	0.0604	0.1590	0.0093	0.1533	513.1000	71.4000	-2.806766174	1	1	1	14.37512635
Diceros_bicornis	PERISSODACTYLA	RHINOCEROTIDAE	0.0561	increasing	living	CR	A2abcd	1180510.9	1	Diceros_bicornis	0.0592	0.1740	0.0100	0.1685	564.1000	76.9000	-2.826833737	1	1	1	13.98145787
Lipotes_vexillifer	CETARTIODACTYLA	INIIDAE	0.0427	unknown	living	CR	"C2a(ii);D"	83500	1	Lipotes_vexillifer	0.0455	0.8960	0.0415	0.9121	2978.4000	323.6000	-3.090042953	1	1	1	11.33260191
Zaglossus_bruijni	MONOTREMATA	TACHYGLOSSIDAE	0.031	decreasing	living	CR	A2acd	7800	1	Zaglossus_bruijni	0.0375	0.1360	0.0059	0.1564	454.7000	47.8000	-3.283414346	1	1	1	8.961879013
Monachus_schauinslandi	CARNIVORA	PHOCIDAE	0.0324	decreasing	living	CR	A3ce+4ce	223000	1	Monachus_schauinslandi	0.0331	0.4680	0.0151	0.4563	1612.7000	113.6000	-3.408221997	1	1	1	12.31492705
Dicerorhinus_sumatrensis	PERISSODACTYLA	RHINOCEROTIDAE	0.0203	decreasing	living	CR	"A2abd;C1+2a(i)"	1266667	1	Dicerorhinus_sumatrensis	0.0279	0.4850	0.0140	0.5014	1678.5000	108.1000	-3.57912859	1	1	1	14.0518996
Camelus_bactrianus_ferus	CETARTIODACTYLA	CAMELIDAE	0.0584	decreasing	living	CR	A3de+4ade	690000	1	Camelus_bactrianus_ferus	0.0220	0.7700	0.0178	0.8074	2703.2000	137.2000	-3.816712826	1	1	1	13.44444688
Pongo_pygmaeus	PRIMATES	HOMINIDAE	0.103	decreasing	living	EN	A2cd+3cd+4cd	57150	1	Pongo_pygmaeus	0.1152	0.1220	0.0122	0.1062	354.7000	94.4000	-2.161085531	0	1	1	10.95343467
