GenerationLength_d	Species
147.5856	Eligmodontia_typus
187.3565	Microtus_oregoni
201.5947166715	Peromyscus_gossypinus
210.0586	Elephantulus_myurus
229.0677	Peromyscus_boylii
249.2027166715	Phodopus_campbelli
266.6535666715	Myodes_gapperi
273.1928	Sorex_palustris
297.4414083285	Reithrodontomys_humulis
318.75155	Oryzomys_palustris
320.8195	Neomys_anomalus
330.7472	Cryptotis_parva
331.5827166715	Sorex_cinereus
347.068	Sorex_coronatus
356.6971	Sminthopsis_murina
363.52745	Suncus_murinus
369.69045	Crocidura_suaveolens
372.35	Blarina_hylophaga
380.4016166715	Sorex_fumeus
389.8012	Galea_musteloides
390.5005	Hemicentetes_nigriceps
392.4667	Sorex_unguiculatus
392.56485	Hemicentetes_semispinosus
405.2845	Neotoma_micropus
415.644	Sorex_arcticus
419.5578	Didelphis_albiventris
424.0141666715	Sorex_ornatus
427.67965	Crocidura_leucodon
431.44575	Microtus_pinetorum
450.5125	Peroryctes_raffrayana
462.87905	Ningaui_ridei
467.01615	Chiropodomys_gliroides
470.3622	Hylaeamys_megacephalus
476.46485	Lemniscomys_striatus
479.2934	Dicrostonyx_torquatus
479.56125	Ochotona_pusilla
491.8841	Microtus_guentheri
504.40745	Apodemus_agrarius
505.49585	Antechinus_minimus
513.1567	Apodemus_flavicollis
518.37315	Pseudantechinus_ningbing
524.7815	Sorex_araneus
533.43285	Antechinus_leo
542.6033	Sminthopsis_leucopus
542.7302833285	Sorex_vagrans
544.46525	Antechinus_swainsonii
550.909	Phodopus_roborovskii
555.65905	Grammomys_dolichurus
558.6411	Condylura_cristata
562.5317	Rhombomys_opimus
568.63755	Marmosa_robinsoni
570.06755	Sminthopsis_virginiae
572.56	Apodemus_argenteus
574.86595	Sminthopsis_ooldea
576.8888	Neomys_fodiens
590.755	Suncus_etruscus
591.9299	Thomomys_talpoides
600.93415	Ctenomys_talarum
601.7602	Scapanus_orarius
607.811966657	Proechimys_semispinosus
612.15985	Dasykaluta_rosamondae
615.4024	Microtus_ochrogaster
618.7144	Galea_spixii
622.1218	Antechinus_bellus
623.0089	Ochotona_alpina
625.1262	Allactaga_elater
627.2105	Gerbilliscus_validus
634.2918	Peromyscus_polionotus
637.4824	Sminthopsis_macroura
639.38525	Peromyscus_truei
644.00335	Dipodomys_heermanni
649.48035	Meriones_libycus
651.6931	Planigale_tenuirostris
654.85	Antechinomys_laniger
658.27775	Peromyscus_californicus
663.3818	Antechinus_flavipes
664.09675	Notomys_mitchellii
671.0762	Meriones_crassus
680.5528	Urotrichus_talpoides
682.2908	Gerbilliscus_afra
683.31225	Isoodon_obesulus
695.32235	Tylomys_nudicaudus
703.088	Cephalophus_adersi
706.1569	Perameles_gunnii
710.90215	Phascogale_calura
712.03415	Notomys_alexis
712.22605	Mesembriomys_gouldii
714.8	Ochotona_pallasi
716.36965	Antechinus_stuartii
726.0055	Perameles_bougainville
730	Galemys_pyrenaicus
730	Mustela_lutreola
731.3936	Dasyurus_hallucatus
731.7872	Sicista_betulina
737.5679	Pachyuromys_duprasi
742.9204	Planigale_gilesi
753.931	Parantechinus_apicalis
755.61195	Napaeozapus_insignis
755.95645	Cavia_tschudii
763.4281	Cavia_aperea
763.5382	Planigale_maculata
782.2066	Neotoma_floridana
786.86995	Leporillus_conditor
791.6752	Perognathus_parvus
792.66	Ictonyx_libyca
797.9786	Antechinus_agilis
798.0911	Parascalops_breweri
810.53	Myotis_nigricans
824.2155	Ctenodactylus_gundi
824.9973	Spermophilus_beecheyi
833.89475	Tatera_indica
834.8625	Onychogalea_fraenata
836.8205	Cephalophus_leucogaster
838.087266657	Podomys_floridanus
838.1847	Pseudantechinus_macdonnellensis
847.3821	Ctenodactylus_vali
850.77085	Rhynchocyon_chrysopygus
854.6685	Ochotona_cansus
856.09045	Peromyscus_eremicus
859.7011	Spermophilus_armatus
874.73125	Muscardinus_avellanarius
878.35415	Phascogale_tapoatafa
883.5172	Glirulus_japonicus
883.7897	Ammospermophilus_nelsoni
884.68295	Pseudomys_australis
893.3032	Sylvilagus_nuttallii
895.4725	Caluromys_derbianus
897.40775	Peromyscus_crinitus
910.7963	Dasyurus_geoffroii
917.4219	Dasyurus_maculatus
926.792	Sylvilagus_audubonii
927.6256	Erinaceus_concolor
940.3939	Hemiechinus_auritus
944.5872	Chaetodipus_formosus
945.15485	Scalopus_aquaticus
951.2818	Gerbillus_pyramidum
953.1642	Spermophilus_citellus
953.4568	Thrichomys_apereoides
962.787	Cephalophus_spadix
967.375	Georychus_capensis
975.7717	Sylvilagus_palustris
979.3233	Eonycteris_spelaea
985.4573	Dipodomys_deserti
986.110483343	Mustela_frenata
995.97395	Macroscelides_proboscideus
996.4534	Perognathus_longimembris
1008.6976	Bettongia_tropica
1010.0935	Dasyurus_viverrinus
1013.94125	Eliomys_quercinus
1017.053	Tenrec_ecaudatus
1018.223333285	Poiana_richardsonii
1019.7194	Neotoma_albigula
1030.6743	Chaetodipus_fallax
1032.4477	Spermophilus_franklinii
1045.7507	Ochotona_princeps
1049.08055	Dasyuroides_byrnei
1059.5661	Spermophilus_tridecemlineatus
1070.30375	Dasycercus_cristicauda
1076.0918	Lepus_arcticus
1078.777858343	Mustela_erminea
1081.2493	Dipodomys_spectabilis
1089.485	Sylvilagus_transitionalis
1095	Poiana_leightoni
1097.83525	Lepus_townsendii
1100.21785	Lagorchestes_conspicillatus
1103.687	Xerus_erythropus
1107.0505	Sylvilagus_floridanus
1120.762777781	Vormela_peregusna
1126.8755	Geomys_bursarius
1133.1875	Tamias_townsendii
1142.08425	Dipodomys_ordii
1148.8483	Tamias_minimus
1153.4	Geocapromys_ingrahami
1155.0817	Microgale_dobsoni
1155.6	Salanoia_concolor
1160.355	Tamias_striatus
1171.038016657	Conepatus_leuconotus
1171.6557	Urocyon_littoralis
1183.8648	Macrotis_lagotis
1194.19395	Mustela_nivalis
1202.7224	Elephantulus_intufi
1205.3128	Ammospermophilus_leucurus
1208.53695	Spermophilus_tereticaudus
1221.14745	Neotoma_lepida
1226.50635	Lepus_californicus
1241.55565	Poecilogale_albinucha
1253.04	Mustela_kathiah
1257.256816657	Spilogale_putorius
1261.998333343	Galictis_cuja
1274.34	Mungos_gambianus
1287.664	Cynopterus_brachyotis
1289.8028	Corynorhinus_rafinesquii
