;16000;15000;14000;13000;12000;11000;10000;9000;8000;7000;6000;5000;4000;3000;2000;1000;0
0;208;308;441;401;295;356;261;336;432;296;305;340;377;376;305;297;198
1000;190;261;273;251;319;231;338;209;296;267;167;304;273;272;264;196;316
2000;202;292;274;288;389;335;326;239;320;200;327;399;336;256;126;297;308
3000;256;325;387;438;312;445;409;317;419;346;366;388;308;200;271;310;373
4000;168;346;434;489;420;415;453;363;370;337;438;431;168;385;371;270;344
5000;231;389;501;459;477;461;418;263;440;313;386;220;409;378;398;352;325
6000;147;361;313;419;329;344;312;343;323;276;122;370;424;321;319;162;340
7000;236;376;471;389;350;326;382;335;376;148;298;311;345;314;213;273;276
8000;204;348;478;473;450;488;475;383;236;387;323;429;394;460;291;351;444
9000;145;415;458;532;371;364;393;158;314;315;340;248;355;337;262;210;351
10000;264;400;461;454;515;441;260;447;467;393;326;450;434;366;318;419;266
11000;110;353;489;532;466;265;412;378;487;363;360;487;441;413;409;247;310
12000;149;404;408;467;266;429;450;343;450;344;331;497;423;313;409;337;327
13000;256;502;495;313;482;509;470;551;468;441;483;497;521;429;288;322;359
14000;241;462;381;490;469;481;457;518;556;584;386;532;492;454;283;341;573
15000;203;220;493;488;446;327;373;402;340;403;400;368;344;319;310;270;324
16000;84;206;200;191;166;90;236;153;186;200;139;210;147;244;169;209;189
