CopyNumber,PercentMatches,FullLength,ConsensusLength,fr_A_cons,fr_T_cons,fr_G_cons,fr_C_cons,fr_A_repeat,fr_T_repeat,fr_G_repeat,fr_C_repeat,RepeatsNumber
2.5,86,48,20,6,5,3,6,12,14,7,16,2
14.5,100,28,2,1,1,0,0,14,15,0,0,2
5.4,99,582,107,35,32,14,26,190,176,77,140,2
16.5,100,32,2,1,1,0,0,17,16,0,0,2
2.1,86,39,19,9,7,1,2,18,15,2,5,1
2.3,90,34,16,9,6,0,1,19,13,0,3,1
2.7,78,45,17,3,3,0,11,9,10,0,27,7
6.6,89,491,75,25,29,6,15,169,186,32,105,7
5.8,100,103,18,9,5,1,3,51,29,6,18,7
9.7,100,426,44,23,9,2,10,226,86,19,96,7
2.1,88,32,16,10,1,1,4,20,2,2,9,7
2.2,89,484,220,78,78,13,51,164,185,32,104,7
3.3,90,484,149,50,57,12,30,164,185,32,104,7
15.5,93,1147,74,23,31,7,13,347,499,106,196,6
15.5,93,1147,74,23,31,7,13,347,499,106,196,6
14.3,99,657,46,22,11,1,12,316,157,14,171,6
14.3,99,657,46,22,11,1,12,316,157,14,171,6
8.7,100,86,10,2,6,1,1,18,52,8,9,6
8.7,100,86,10,2,6,1,1,18,52,8,9,6
2.2,100,141,66,13,28,6,19,27,60,14,41,16
2.2,100,141,66,13,28,6,19,27,60,14,41,16
14.9,100,714,48,21,11,9,7,313,163,134,105,16
14.9,100,714,48,21,11,9,7,313,163,134,105,16
3.2,91,141,42,8,18,4,12,27,60,14,41,16
3.2,91,141,42,8,18,4,12,27,60,14,41,16
2,85,39,21,7,2,0,12,11,4,0,25,16
2,85,39,21,7,2,0,12,11,4,0,25,16
3.2,61,76,25,9,6,6,4,32,17,16,12,16
3.2,61,76,25,9,6,6,4,32,17,16,12,16
2.6,100,127,49,19,12,8,10,48,29,23,28,16
2.6,100,127,49,19,12,8,10,48,29,23,28,16
3.5,85,38,11,3,6,0,2,10,19,1,9,16
3.5,85,38,11,3,6,0,2,10,19,1,9,16
6.5,92,141,21,4,9,2,6,27,60,14,41,16
6.5,92,141,21,4,9,2,6,27,60,14,41,16
5.5,99,649,119,46,37,18,18,249,207,98,96,2
2.5,80,41,17,8,6,1,2,19,16,1,6,2
1.9,84,38,20,1,8,0,11,2,15,1,21,1
1.9,84,39,21,4,7,4,6,7,15,7,11,1
2.2,86,94,42,17,15,5,5,37,39,9,10,1
2.1,95,346,164,63,57,14,30,131,120,29,67,2
4.2,94,346,82,30,30,7,15,131,120,29,67,2
2.2,100,177,82,28,29,9,16,61,64,19,34,1
3.2,64,123,39,15,14,3,7,48,44,9,23,3
2.6,100,205,78,29,28,6,15,74,75,15,42,3
3.2,64,123,39,14,14,3,8,47,44,9,24,3
4.5,100,360,80,27,28,9,16,122,126,39,74,1
5.2,64,210,39,13,14,3,9,73,76,21,41,2
3.6,99,294,82,28,30,9,15,99,111,30,55,2
3.6,98,294,82,29,30,8,15,102,111,27,55,2
5.2,65,210,39,13,15,3,8,75,77,19,40,2
3.2,100,259,82,28,30,9,15,89,96,28,47,2
3.2,67,131,43,16,16,5,6,48,48,14,22,2
3.5,100,285,82,31,28,7,16,106,98,24,58,3
3.1,60,134,47,17,15,4,11,52,44,11,28,3
5.2,65,213,43,17,16,4,6,83,74,18,39,3
5.2,62,210,39,14,10,3,12,78,64,19,50,4
5.2,62,214,43,16,16,5,6,80,70,21,44,4
5.1,61,207,39,16,11,5,7,77,65,22,44,4
3.4,100,279,82,30,26,8,18,100,91,27,62,4
12.5,100,24,2,1,1,0,0,12,13,0,0,1
14.5,100,28,2,1,1,0,0,14,15,0,0,1
14.5,100,28,2,1,1,0,0,14,15,0,0,1
13.5,100,26,2,1,1,0,0,13,14,0,0,1
2,100,539,271,112,82,28,49,223,163,56,98,2
13.5,100,26,2,1,1,0,0,13,14,0,0,2
12.5,100,24,2,1,1,0,0,12,13,0,0,1
13,100,25,2,1,1,0,0,13,13,0,0,1
13.5,100,26,2,1,1,0,0,13,14,0,0,1
14,100,27,2,1,1,0,0,14,14,0,0,1
13.5,100,26,2,1,1,0,0,13,14,0,0,1
14,100,27,2,1,1,0,0,14,14,0,0,1
2.8,90,30,11,3,8,0,0,8,23,0,0,1
1.9,90,41,22,9,9,1,3,16,19,2,5,4
18.1,86,172,10,7,0,0,3,119,0,0,54,4
12.6,93,162,13,9,0,0,4,113,0,0,50,4
53,86,170,3,2,0,0,1,118,0,0,53,4
2,88,34,17,14,1,0,2,27,2,0,6,2
2.9,75,45,17,13,0,0,4,35,1,0,10,2
8.9,98,666,75,24,29,12,10,215,255,110,87,3
3.2,99,695,215,72,55,19,69,233,176,65,222,3
9,99,423,47,15,17,4,11,140,157,28,99,3
33,93,329,10,2,2,3,3,66,79,99,86,1
24.1,95,192,8,3,2,1,2,73,41,24,55,1
9.1,100,72,8,3,2,1,2,28,18,9,18,1
2,85,37,19,9,7,1,2,16,16,2,4,1
3.2,63,115,35,15,12,4,4,48,39,11,18,5
3.4,69,130,40,18,13,4,5,55,44,12,20,5
2.3,88,58,26,10,10,4,2,22,21,8,8,5
2.1,100,156,75,30,25,7,13,63,52,15,27,5
3.5,68,125,35,12,12,3,8,48,44,12,22,5
24,100,47,2,1,1,0,0,24,24,0,0,1
1.9,100,24,13,6,6,0,1,12,12,0,1,1
2,100,33,17,6,1,1,9,12,2,2,18,1
2,94,342,176,46,46,37,47,85,91,78,89,1
2.3,100,26,12,5,0,0,7,12,0,0,15,1
18.2,96,384,21,7,9,3,2,136,171,45,33,2
3.6,100,79,22,10,11,0,1,36,41,0,3,2
5.6,90,361,64,26,24,7,7,146,132,41,43,3
2.8,94,361,129,50,48,16,15,146,132,41,43,3
17,91,362,21,8,8,3,2,147,132,41,43,3
2,86,90,46,18,17,1,10,31,37,2,21,1
2,84,90,46,18,16,1,11,31,36,2,22,1
3.4,100,26,8,1,0,3,4,4,0,10,13,2
2.4,100,96,40,15,17,4,4,37,41,9,10,2
2.7,98,106,40,16,17,3,4,42,44,9,12,1
3.6,70,72,21,9,9,2,1,29,31,6,7,2
2.7,89,105,40,16,17,3,4,42,44,10,10,2
3.7,100,36,10,5,5,0,0,19,18,0,0,1
3.9,98,348,89,27,32,11,19,103,123,46,77,6
5.6,98,515,92,35,34,8,15,195,190,44,87,6
3,88,224,75,29,30,5,11,85,86,18,36,6
8,72,350,43,11,15,6,11,100,127,45,79,6
3.2,94,581,184,70,68,16,30,219,217,51,95,6
1.9,86,255,132,41,47,15,29,71,93,33,59,6
2.7,100,26,10,0,8,1,1,0,23,2,2,1
2.7,100,26,10,0,8,1,1,0,23,2,2,4
2.5,100,27,11,1,10,0,0,2,26,0,0,4
1.9,94,37,20,2,18,0,0,3,34,0,1,4
16.1,98,160,10,4,6,0,0,60,100,0,1,4
2.1,100,36,18,5,4,3,6,10,8,6,13,2
10.1,100,100,10,8,0,0,2,81,0,0,20,2
36.5,97,289,8,1,4,1,2,37,144,37,70,14
36.5,97,289,8,1,4,1,2,37,144,37,70,14
4.8,94,113,24,0,15,6,3,0,74,29,11,14
4.8,94,113,24,0,15,6,3,0,74,29,11,14
2.6,91,35,14,10,0,0,4,25,0,0,11,14
2.6,91,35,14,10,0,0,4,25,0,0,11,14
2.6,91,35,14,10,0,0,4,25,0,0,11,14
2.6,91,35,14,10,0,0,4,25,0,0,11,14
8.8,93,33,4,0,3,1,0,0,26,8,0,14
8.8,93,33,4,0,3,1,0,0,26,8,0,14
12.4,98,97,8,0,5,2,1,0,62,25,11,14
12.4,98,97,8,0,5,2,1,0,62,25,11,14
8.8,93,35,4,0,3,1,0,0,28,8,0,14
8.8,93,35,4,0,3,1,0,0,28,8,0,14
3.1,96,119,39,15,17,4,3,44,51,15,10,1
16.1,99,273,17,5,7,3,2,86,113,43,32,3
21.9,99,807,37,13,16,3,5,287,348,64,109,3
5.4,100,674,126,43,45,15,23,230,243,78,124,3
2,82,66,34,12,12,7,3,22,27,11,7,1
5.1,98,75,15,5,1,2,7,24,5,11,36,2
