"FirstWindowWholeKbRes"	"SecondWindowWholeKbRes"	"FirstWindow"	"SecondWindow"	"DirectRepeatsDensity"	"MicroHomologyScore"	"Deletion"	"InfinitySign"	"InvRepDensScore"	"GlobalFoldingScore"	"Residuals"	"GlobalFolding1000Score"	"DistanceToContact"	"TempDistanceToContact"	"LogRegr.ContactPoint.Coord1"	"LogRegr.ContactPoint.Coord2"	"LogRegr.ContactPoint.PiValue"	"LogRegr.ContactPoint.Coeff"	"LogRegr.ContactPoint.AIC"
"1"	10000	6000	10000	5900	23	78	0	0	10	0	-0.450463994471933	0	2214.72345903501	0	10050	5950	0.017124455217695	0.118092048786592	2887.85495023903
"2"	10000	6000	10000	6000	10	76	0	0	0	0	-0.443212024283605	0	2127.20473861826	0	10050	6050	0.00994261006808193	0.127680175306588	2886.89525621378
"3"	10000	6000	10000	6100	0	87	0	0	0	0	-0.484431905198241	0	2040.83316319586	0	10050	6150	0.00557454441623516	0.137274152157891	2885.85888797203
"4"	10000	6000	10000	6200	10	53	0	0	0	0	-0.367140714629347	0	1955.76072156079	0	10050	6250	0.00301853307132085	0.1468647829417	2884.74639897438
"5"	10000	6000	10000	6300	0	61	0	0	0	0	-0.392116965396335	0	1872.16452268491	0	10050	6350	0.0015778878686088	0.156451963443278	2883.55727707986
"6"	10000	6000	10000	6400	0	85	0	0	0	0	-0.476692264478192	0	1790.25137899682	0	10050	6450	0.000796005502676047	0.166037071816873	2882.29117742866
"7"	10000	6000	10000	6500	0	68	0	0	0	0	-0.415250104780771	0	1710.26313764871	0	10050	6550	0.000386993185631951	0.175636579521702	2880.94561967596
"8"	10000	6000	9600	6000	0	74	0	0	6	0	-0.436065687317302	0	1960.86715511276	0	9650	6050	0.000262619550317751	0.182233731772747	2880.16907853188
"9"	10000	6000	9600	6100	12	82	0	0	0	0	-0.465288880772059	0	1866.81547025945	0	9650	6150	0.000122649909385098	0.191917143689935	2878.7215823846
"10"	10000	6000	10400	5900	0	82	0	0	10	0	-0.465288880772059	0	2430.02057604457	0	10450	5950	0.287330777901736	0.0526233924659861	2892.39135203048
"11"	10000	6000	10400	6000	0	58	0	0	0	0	-0.38257161089932	0	2350.53185470863	0	10450	6050	0.209956485580241	0.0619448990608829	2891.95391701197
"12"	10000	6000	10400	6100	0	86	0	0	0	0	-0.48054826784265	0	2272.6636354727	0	10450	6150	0.148549812910587	0.0713113018416203	2891.44137387522
"13"	10000	6000	10400	6200	0	59	0	0	0	0	-0.385729217462623	0	2196.58826364888	0	10450	6250	0.101641233588182	0.0807213797864069	2890.85230648478
"14"	10000	6000	10400	6300	15	68	0	0	0	0	-0.415250104780771	0	2122.49852767911	0	10450	6350	0.0671664093803123	0.0901764408737707	2890.18508549676
"15"	10000	6000	10400	6400	0	87	0	0	0	0	-0.484431905198241	0	2050.60966544099	0	10450	6450	0.0428203490076903	0.0996738134930591	2889.43835941788
"16"	10000	6000	10400	6500	0	55	0	0	10	0	-0.373242201070279	0	1981.16127561589	0	10450	6550	0.0263073117582649	0.109212689880879	2888.61061479413
"17"	10000	6000	10300	5900	0	63	0	0	10	0	-0.398602344359975	0	2371.70824512628	0	10350	5950	0.155939083355154	0.0701548769080342	2891.51436436051
"18"	10000	6000	10300	6000	0	71	0	0	0	0	-0.425541986273709	0	2290.19649811976	0	10350	6050	0.107293390295255	0.0795690981330776	2890.93690733537
"19"	10000	6000	10300	6100	0	77	0	0	0	0	-0.446824741384642	0	2210.20361053003	0	10350	6150	0.0713763677687838	0.0890161707511893	2890.28299614706
"20"	10000	6000	10300	6200	0	88	0	0	0	0	-0.488343292251633	0	2131.90056053278	0	10350	6250	0.045872931609768	0.0984909760941367	2889.55185643692
"21"	10000	6000	10300	6300	0	72	0	0	0	0	-0.429023953102004	0	2055.48047910945	0	10350	6350	0.0284503151983488	0.107996303031923	2888.74205406012
"22"	10000	6000	9800	5900	0	62	0	0	0	0	-0.39534738232983	0	2127.20473861826	0	9850	5950	0.00318149928326551	0.146556290553092	2884.8314456531
"23"	10000	6000	9800	6000	11	78	0	0	0	0	-0.450463994471933	0	2035.92730715023	0	9850	6050	0.00167333590430514	0.15620776756721	2883.65115328778
"24"	10000	6000	10200	5900	10	90	0	0	0	0	-0.496249771054143	0	2316.24696438009	0	10250	5950	0.0789363208076253	0.0868847268267165	2890.44553657052
"25"	10000	6000	10200	6000	12	70	0	0	0	0	-0.422085777655823	0	2232.71135617661	0	10250	6050	0.0512005921633549	0.0963727022090071	2889.7338670468
"26"	10000	6000	10200	6100	11	116	0	0	0	0	-0.609544261348023	0	2150.58131676066	0	10250	6150	0.03208227174501	0.105882863446221	2888.94512981687
"27"	10000	6000	10200	6200	0	94	0	0	0	0	-0.512400650669564	0	2070.02415444845	0	10250	6250	0.0194127310322919	0.115407421941951	2888.07917845411
"28"	10000	6000	10200	6300	10	93	0	0	0	0	-0.508320419467101	0	1991.23077517399	0	10250	6350	0.0113324952889757	0.124949770877399	2887.13477556043
"29"	10000	6000	10200	6400	0	78	0	0	0	0	-0.450463994471933	0	1914.41897190766	0	10250	6450	0.00637681624284242	0.134512989430537	2886.1107222747
"30"	10000	6000	10200	6500	0	70	0	0	0	0	-0.422085777655823	0	1839.83694929741	0	10250	6550	0.00345475326023445	0.144104526831529	2885.0051808045
"31"	10000	6000	10100	6200	0	73	0	0	0	0	-0.432531809813371	0	2011.21853611188	0	10150	6250	0.00780630701438089	0.131515103910533	2886.46783937629
"32"	10000	6000	10100	5900	0	79	0	0	0	0	-0.454129910023736	0	2263.84628453435	0	10150	5950	0.0376678752270773	0.10285080008681	2889.21634934695
"33"	10000	6000	10100	6000	0	69	0	0	11	0	-0.418655194851962	0	2178.3020910792	0	10150	6050	0.0230837927705977	0.112395387484487	2888.37715609474
"34"	10000	6000	10100	6100	0	88	0	0	0	0	-0.488343292251633	0	2094.03915913719	0	10150	6150	0.01366080447327	0.121953086314398	2887.46089015164
"35"	10000	6000	9700	6400	0	71	0	0	0	0	-0.425541986273709	0	1632.48277173145	0	9750	6450	3.05327261906788e-05	0.208083106987041	2876.07319801546
"36"	10000	6000	10100	6300	0	62	0	0	0	0	-0.39534738232983	0	1930.02590656188	0	10150	6350	0.00430401682151888	0.141084530078036	2885.3969416006
"37"	10000	6000	10100	6400	23	104	0	0	0	0	-0.554787703844401	0	1850.67555233217	0	10150	6450	0.0022880175649502	0.150665010937377	2884.24721302061
"38"	10000	6000	10100	6500	9	105	0	0	0	0	-0.559186948720166	0	1773.41478509682	0	10150	6550	0.00117133340347621	0.160267749695809	2883.01664701252
"39"	10000	6000	9900	6400	0	55	0	0	0	0	-0.373242201070279	0	1733.49358233597	0	9950	6450	0.000271309437525383	0.18068849158275	2880.2658036184
"40"	10000	6000	9700	6500	0	77	0	0	0	0	-0.446824741384642	0	1544.34452114805	0	9750	6550	1.29911724537377e-05	0.217692896101258	2874.42438216841
"41"	10000	6000	9900	6200	0	64	0	0	0	0	-0.401881988334887	0	1903.94327646598	0	9950	6250	0.00113387890092945	0.161509178290811	2882.93854846795
"42"	10000	6000	9900	6300	0	78	0	0	0	0	-0.450463994471933	0	1817.96589626978	0	9950	6350	0.000564175962988417	0.171107608311873	2881.63928240983
"43"	10000	6000	10500	6100	10	84	0	0	0	0	-0.472863778012583	0	2337.73394551219	0	10550	6150	0.285707399141234	0.0527171727783944	2892.38394397535
"44"	10000	6000	10500	6200	0	92	0	0	0	0	-0.504268600303811	0	2263.84628453435	0	10550	6250	0.208380955627645	0.0620459290885823	2891.94345927748
"45"	10000	6000	10500	5900	10	83	0	0	10	0	-0.469062690016585	0	2490.98374141623	0	10550	5950	0.488976791411346	0.0342468644551717	2893.04199101214
"46"	10000	6000	10500	6000	0	85	0	0	12	0	-0.476692264478192	0	2413.50367722943	0	10550	6050	0.379418106095832	0.043452352002674	2892.74943318129
"47"	10000	6000	10500	6500	0	85	0	0	10	0	-0.476692264478192	0	2055.48047910945	0	10550	6550	0.0658263364747433	0.090390437315886	2890.153773149
"48"	10000	6000	9900	6000	10	57	0	0	15	0	-0.379437998369853	0	2079.66343430854	0	9950	6050	0.00413276188225048	0.142271365040208	2885.31270334295
"49"	10000	6000	10500	6300	0	95	0	0	0	0	-0.51650939850618	0	2192.0310216783	0	10550	6350	0.146978803626807	0.0714399359697797	2891.42590664813
"50"	10000	6000	10500	6400	0	80	0	0	0	0	-0.457822613504236	0	2122.49852767911	0	10550	6450	0.100132646031186	0.0808915086911993	2890.82973064266
"51"	10000	6000	9500	6500	10	83	0	0	0	0	-0.469062690016585	0	1457.73797371133	0	9550	6550	1.39163397802629e-06	0.242651872448161	2870.0080646771
"52"	10000	6000	9800	6500	0	74	0	0	0	0	-0.436065687317302	0	1595.30561335438	0	9850	6550	4.05331972792725e-05	0.204269451065013	2876.63708572595
"53"	10000	6000	9900	6100	10	60	0	0	10	0	-0.388910956311997	0	1991.23077517399	0	9950	6150	0.0022022515844482	0.15189534781388	2884.16319897015
"54"	10000	6000	9500	6400	19	90	0	0	10	0	-0.496249771054143	0	1550.80624192708	0	9550	6450	3.50701634235305e-06	0.233037786865725	2871.82337459762
"55"	10000	6000	10300	6500	0	80	0	0	0	0	-0.457822613504236	0	1909.18830920368	0	10350	6550	0.00979647866005608	0.127101320794671	2886.88137310053
"56"	10000	6000	9500	6100	9	98	0	0	0	0	-0.529007760510172	0	1834.39363278441	0	9550	6150	4.65369369223426e-05	0.204069332621788	2876.84924313281
"57"	10000	6000	9500	6200	0	104	0	0	0	0	-0.554787703844401	0	1739.25271309261	0	9550	6250	2.02843731036797e-05	0.213747741060287	2875.24431488033
"58"	10000	6000	9900	6500	0	50	0	0	8	0	-0.35816288060367	0	1650.75740192192	0	9950	6550	0.000125996488471294	0.190261706662302	2878.81662447682
"59"	10000	6000	9600	6400	0	105	0	0	0	0	-0.559186948720166	0	1589.02485820707	0	9650	6450	1.02762228260271e-05	0.220859769085048	2873.94615785519
"60"	10000	6000	9600	6500	0	89	0	0	0	0	-0.492282543274599	0	1498.33240637717	0	9650	6550	4.21199485184825e-06	0.230478611399798	2872.20941108858
"61"	10000	6000	9800	6400	0	75	0	0	0	0	-0.439625715720008	0	1680.77363139716	0	9850	6450	9.1234476120165e-05	0.194692743687913	2878.18699784918
