c,five,three,size
0,8026.8,11441.2,5
1,10897.384615384615,14079.615384615385,13
2,7791.071428571428,12348.857142857143,14
3,11015.59090909091,15476.818181818182,22
4,9466.548387096775,13829.322580645161,31
5,5802.181818181818,13922.727272727272,11
6,6377.6,13954.75,60
7,7655.227272727273,13703.25,44
8,7309.777777777777,14487.666666666666,18
9,8510.363636363636,13991.363636363636,11
10,6373.2,15513.0,5
11,8460.0,13465.8,15
12,8248.222222222223,13413.0,9
13,5811.793103448276,16071.379310344828,29
14,6153.166666666667,16072.083333333334,12
15,7905.857142857143,15503.642857142857,28
16,7327.071428571428,16053.357142857143,42
17,8584.15,15674.35,20
18,8644.142857142857,16078.5,14
19,8398.076923076924,16072.0,13
20,8259.882352941177,16069.411764705883,17
21,7999.7,16073.0,30
22,7809.35294117647,16073.35294117647,17
