Species CopyNumber PercentMatches FullLength ConsensusLength fr_A_cons fr_T_cons fr_G_cons fr_C_cons fr_A_repeat fr_T_repeat fr_G_repeat fr_C_repeat RepeatsNumber
Ablennes_hians 2.5 86 48 20 6 5 3 6 12 14 7 16 2
Ablennes_hians 14.5 100 28 2 1 1 0 0 14 15 0 0 2
Abronia_graminea 5.4 99 582 107 35 32 14 26 190 176 77 140 2
Abronia_graminea 16.5 100 32 2 1 1 0 0 17 16 0 0 2
Acanthopagrus_latus 2.1 86 39 19 9 7 1 2 18 15 2 5 1
Acantopsis_choirorhynchos 2.3 90 34 16 9 6 0 1 19 13 0 3 1
Accipiter_gentilis 2.7 78 45 17 3 3 0 11 9 10 0 27 7
Accipiter_gentilis 6.6 89 491 75 25 29 6 15 169 186 32 105 7
Accipiter_gentilis 5.8 100 103 18 9 5 1 3 51 29 6 18 7
Accipiter_gentilis 9.7 100 426 44 23 9 2 10 226 86 19 96 7
Accipiter_gentilis 2.1 88 32 16 10 1 1 4 20 2 2 9 7
Accipiter_gentilis 2.2 89 484 220 78 78 13 51 164 185 32 104 7
Accipiter_gentilis 3.3 90 484 149 50 57 12 30 164 185 32 104 7
Accipiter_nisus 15.5 93 1147 74 23 31 7 13 347 499 106 196 6
Accipiter_nisus 15.5 93 1147 74 23 31 7 13 347 499 106 196 6
Accipiter_nisus 14.3 99 657 46 22 11 1 12 316 157 14 171 6
Accipiter_nisus 14.3 99 657 46 22 11 1 12 316 157 14 171 6
Accipiter_nisus 8.7 100 86 10 2 6 1 1 18 52 8 9 6
Accipiter_nisus 8.7 100 86 10 2 6 1 1 18 52 8 9 6
Accipiter_virgatus 2.2 100 141 66 13 28 6 19 27 60 14 41 16
Accipiter_virgatus 2.2 100 141 66 13 28 6 19 27 60 14 41 16
Accipiter_virgatus 14.9 100 714 48 21 11 9 7 313 163 134 105 16
Accipiter_virgatus 14.9 100 714 48 21 11 9 7 313 163 134 105 16
Accipiter_virgatus 3.2 91 141 42 8 18 4 12 27 60 14 41 16
Accipiter_virgatus 3.2 91 141 42 8 18 4 12 27 60 14 41 16
Accipiter_virgatus 2 85 39 21 7 2 0 12 11 4 0 25 16
Accipiter_virgatus 2 85 39 21 7 2 0 12 11 4 0 25 16
Accipiter_virgatus 3.2 61 76 25 9 6 6 4 32 17 16 12 16
Accipiter_virgatus 3.2 61 76 25 9 6 6 4 32 17 16 12 16
