"Win1" "Win2" "InvInvGibbsEnergy" "InvInvAbsGibbsEnergy"
"1" 10081 11081 -4.27 4.27
"2" 10081 11181 -3.3 3.3
"3" 10081 11281 -0.9 0.9
"4" 10081 11381 -12.43 12.43
"5" 10081 11481 -5.1 5.1
"6" 10081 11581 -6.9 6.9
"7" 10081 11681 -3.93 3.93
"8" 10081 11781 -3.7 3.7
"9" 10081 11881 -2.1 2.1
"10" 10081 11981 -3.4 3.4
"11" 10081 12081 -4.8 4.8
"12" 10081 12181 -0.59 0.59
"13" 10081 12281 -3.94 3.94
"14" 10081 12381 -5.1 5.1
"15" 10081 12481 -3.9 3.9
"16" 10081 12581 -3.54 3.54
"17" 10081 12681 -4.62 4.62
"18" 10081 12781 -2.34 2.34
"19" 10081 12881 -3.6 3.6
"20" 10081 12981 -2.6 2.6
"21" 10081 13081 -3 3
"22" 10081 13181 -5.9 5.9
"23" 10081 13281 -3.44 3.44
"24" 10081 13381 -1.77 1.77
"25" 10081 13481 -3.29 3.29
"26" 10081 13581 -6.9 6.9
"27" 10081 13681 -5.12 5.12
"28" 10081 13781 -4.9 4.9
"29" 10081 13881 -5.62 5.62
"30" 10081 13981 -1.5 1.5
"31" 10081 14081 -1.7 1.7
"32" 10081 14181 -3.76 3.76
"33" 10081 14281 0 0
"34" 10081 14381 -5.89 5.89
"35" 10081 14481 -1.17 1.17
"36" 10081 14581 -3.11 3.11
"37" 10081 14681 -0.94 0.94
"38" 10081 14781 -3.14 3.14
"39" 10081 14881 -5.6 5.6
"40" 10081 14981 -4.5 4.5
"41" 10081 15081 -3.9 3.9
"42" 10081 15181 -1.7 1.7
"43" 10081 15281 -3.74 3.74
"44" 10081 15381 -5.05 5.05
"45" 10081 15481 -3.43 3.43
"46" 10081 15581 -5.09 5.09
"47" 10081 15681 -8.06 8.06
"48" 10081 15781 -1.4 1.4
"49" 10081 15881 -4 4
"50" 10081 15981 -5.3 5.3
"51" 10081 16081 -8.2 8.2
"52" 10081 16181 -2.82 2.82
"53" 10081 16281 -5.5 5.5
"54" 10081 16381 -5.39 5.39
"55" 10081 16481 -4.89 4.89
"56" 10181 11181 -4.41 4.41
"57" 10181 11281 -3.65 3.65
"58" 10181 11381 -2.93 2.93
"59" 10181 11481 -1.1 1.1
"60" 10181 11581 -0.01 0.01
"61" 10181 11681 -3.9 3.9
"62" 10181 11781 -5.77 5.77
"63" 10181 11881 -2.23 2.23
"64" 10181 11981 -0.55 0.55
"65" 10181 12081 -1.27 1.27
"66" 10181 12181 -4.41 4.41
"67" 10181 12281 -7.4 7.4
"68" 10181 12381 0 0
"69" 10181 12481 -5.07 5.07
"70" 10181 12581 0 0
"71" 10181 12681 -3.78 3.78
"72" 10181 12781 -1.96 1.96
"73" 10181 12881 -0.98 0.98
"74" 10181 12981 -2.9 2.9
"75" 10181 13081 -2.33 2.33
"76" 10181 13181 -0.17 0.17
"77" 10181 13281 -2.52 2.52
"78" 10181 13381 -3.58 3.58
"79" 10181 13481 -1.81 1.81
"80" 10181 13581 -3.05 3.05
"81" 10181 13681 -5.16 5.16
"82" 10181 13781 -0.03 0.03
"83" 10181 13881 -1.26 1.26
"84" 10181 13981 -4.14 4.14
"85" 10181 14081 0 0
"86" 10181 14181 -5.47 5.47
"87" 10181 14281 0 0
"88" 10181 14381 0 0
"89" 10181 14481 -0.06 0.06
"90" 10181 14581 -4.63 4.63
"91" 10181 14681 -2.1 2.1
"92" 10181 14781 -0.29 0.29
"93" 10181 14881 -3.3 3.3
"94" 10181 14981 -6.38 6.38
"95" 10181 15081 -1 1
"96" 10181 15181 -7.75 7.75
"97" 10181 15281 -1.18 1.18
"98" 10181 15381 -2.91 2.91
"99" 10181 15481 -1.44 1.44
"100" 10181 15581 -2.14 2.14
"101" 10181 15681 -6.8 6.8
"102" 10181 15781 0 0
"103" 10181 15881 -3.73 3.73
"104" 10181 15981 -2.64 2.64
"105" 10181 16081 -1.21 1.21
"106" 10181 16181 -1.17 1.17
"107" 10181 16281 -0.27 0.27
"108" 10181 16381 -7.2 7.2
"109" 10181 16481 -1.09 1.09
"110" 10281 11281 -5 5
"111" 10281 11381 -3.21 3.21
"112" 10281 11481 -2.5 2.5
"113" 10281 11581 -1.79 1.79
"114" 10281 11681 -11.4 11.4
"115" 10281 11781 -3.8 3.8
"116" 10281 11881 -7.09 7.09
"117" 10281 11981 -3.29 3.29
"118" 10281 12081 -3.37 3.37
"119" 10281 12181 -1.87 1.87
"120" 10281 12281 -3.04 3.04
"121" 10281 12381 -1.26 1.26
"122" 10281 12481 -4 4
"123" 10281 12581 -5.05 5.05
"124" 10281 12681 -7.96 7.96
"125" 10281 12781 -5.3 5.3
"126" 10281 12881 -2.79 2.79
"127" 10281 12981 -4.1 4.1
"128" 10281 13081 -5.01 5.01
"129" 10281 13181 -3.8 3.8
"130" 10281 13281 -5.41 5.41
"131" 10281 13381 -3.76 3.76
"132" 10281 13481 -2.6 2.6
"133" 10281 13581 -4.1 4.1
"134" 10281 13681 -3.31 3.31
"135" 10281 13781 -7.44 7.44
"136" 10281 13881 -6.09 6.09
"137" 10281 13981 -5.9 5.9
"138" 10281 14081 -4.93 4.93
"139" 10281 14181 -0.78 0.78
"140" 10281 14281 -1.64 1.64
"141" 10281 14381 -3.67 3.67
"142" 10281 14481 -1.23 1.23
"143" 10281 14581 -2.3 2.3
"144" 10281 14681 -0.55 0.55
"145" 10281 14781 -6 6
"146" 10281 14881 -5.5 5.5
"147" 10281 14981 -3.7 3.7
"148" 10281 15081 -6 6
"149" 10281 15181 -5.54 5.54
"150" 10281 15281 -3.8 3.8
"151" 10281 15381 -0.81 0.81
"152" 10281 15481 -8.8 8.8
"153" 10281 15581 -1 1
"154" 10281 15681 -4.88 4.88
"155" 10281 15781 -0.45 0.45
"156" 10281 15881 -8.3 8.3
"157" 10281 15981 -5 5
"158" 10281 16081 -2.8 2.8
"159" 10281 16181 -3.88 3.88
"160" 10281 16281 -1.69 1.69
"161" 10281 16381 -3.76 3.76
"162" 10281 16481 -5.6 5.6
"163" 10381 11381 -1.12 1.12
"164" 10381 11481 -1.6 1.6
"165" 10381 11581 -1.4 1.4
"166" 10381 11681 -4 4
"167" 10381 11781 -1.51 1.51
"168" 10381 11881 0 0
"169" 10381 11981 -2.92 2.92
"170" 10381 12081 -5.39 5.39
"171" 10381 12181 -1.7 1.7
"172" 10381 12281 -1.5 1.5
"173" 10381 12381 -3.65 3.65
"174" 10381 12481 0 0
"175" 10381 12581 -2.48 2.48
"176" 10381 12681 -2.45 2.45
"177" 10381 12781 -0.88 0.88
"178" 10381 12881 -1.7 1.7
"179" 10381 12981 -3.5 3.5
"180" 10381 13081 -1.53 1.53
"181" 10381 13181 -5.26 5.26
"182" 10381 13281 -1.7 1.7
"183" 10381 13381 -6.15 6.15
"184" 10381 13481 -3.67 3.67
"185" 10381 13581 -1.16 1.16
"186" 10381 13681 -0.14 0.14
"187" 10381 13781 0 0
"188" 10381 13881 -2.33 2.33
"189" 10381 13981 0 0
"190" 10381 14081 -2.59 2.59
"191" 10381 14181 -1.82 1.82
"192" 10381 14281 -2.22 2.22
"193" 10381 14381 0 0
"194" 10381 14481 -2.38 2.38
"195" 10381 14581 0 0
"196" 10381 14681 -9.74 9.74
"197" 10381 14781 -5.62 5.62
"198" 10381 14881 -2.55 2.55
"199" 10381 14981 -1.14 1.14
"200" 10381 15081 -5.34 5.34
"201" 10381 15181 -2.81 2.81
"202" 10381 15281 -4.11 4.11
"203" 10381 15381 -3.2 3.2
"204" 10381 15481 0 0
"205" 10381 15581 -2.08 2.08
"206" 10381 15681 -1.5 1.5
"207" 10381 15781 -5.82 5.82
"208" 10381 15881 -6.5 6.5
"209" 10381 15981 -3.64 3.64
"210" 10381 16081 -1.5 1.5
"211" 10381 16181 -1.08 1.08
"212" 10381 16281 -2.82 2.82
"213" 10381 16381 -3.7 3.7
"214" 10381 16481 -6.87 6.87
"215" 10481 11481 -4.03 4.03
"216" 10481 11581 -0.62 0.62
"217" 10481 11681 -1.5 1.5
"218" 10481 11781 -1.43 1.43
"219" 10481 11881 -4.72 4.72
"220" 10481 11981 0 0
"221" 10481 12081 -1.2 1.2
"222" 10481 12181 -1.47 1.47
"223" 10481 12281 -0.92 0.92
"224" 10481 12381 -0.5 0.5
"225" 10481 12481 -1.7 1.7
"226" 10481 12581 -0.5 0.5
"227" 10481 12681 -5.77 5.77
"228" 10481 12781 -9.8 9.8
"229" 10481 12881 -2.7 2.7
"230" 10481 12981 -6.5 6.5
"231" 10481 13081 -1.2 1.2
"232" 10481 13181 -1.35 1.35
"233" 10481 13281 -5.1 5.1
"234" 10481 13381 -1.78 1.78
"235" 10481 13481 -1.27 1.27
"236" 10481 13581 -2.3 2.3
"237" 10481 13681 -3.2 3.2
"238" 10481 13781 -2.4 2.4
"239" 10481 13881 -4.28 4.28
"240" 10481 13981 -5.5 5.5
"241" 10481 14081 -1.1 1.1
"242" 10481 14181 0 0
"243" 10481 14281 -2.5 2.5
"244" 10481 14381 -4 4
"245" 10481 14481 -2.7 2.7
"246" 10481 14581 -1.62 1.62
"247" 10481 14681 -0.42 0.42
"248" 10481 14781 -0.84 0.84
"249" 10481 14881 -3.8 3.8
"250" 10481 14981 -4.17 4.17
"251" 10481 15081 -6.8 6.8
"252" 10481 15181 -4.52 4.52
"253" 10481 15281 -1.78 1.78
"254" 10481 15381 -2.51 2.51
"255" 10481 15481 -6.2 6.2
"256" 10481 15581 -4.2 4.2
"257" 10481 15681 -2.99 2.99
"258" 10481 15781 -1.5 1.5
"259" 10481 15881 -1.5 1.5
"260" 10481 15981 -3.22 3.22
"261" 10481 16081 -0.98 0.98
"262" 10481 16181 0 0
"263" 10481 16281 -3.87 3.87
"264" 10481 16381 -0.47 0.47
"265" 10481 16481 -2.27 2.27
"266" 10581 11581 -9 9
"267" 10581 11681 -11.2 11.2
"268" 10581 11781 -3.7 3.7
"269" 10581 11881 -3.78 3.78
"270" 10581 11981 -3.3 3.3
"271" 10581 12081 0 0
"272" 10581 12181 -6.2 6.2
"273" 10581 12281 -5.9 5.9
"274" 10581 12381 -0.87 0.87
"275" 10581 12481 -2.9 2.9
"276" 10581 12581 -0.6 0.6
"277" 10581 12681 -9.2 9.2
"278" 10581 12781 -7.3 7.3
"279" 10581 12881 -2.8 2.8
"280" 10581 12981 -9.9 9.9
"281" 10581 13081 -4.28 4.28
"282" 10581 13181 -7.4 7.4
"283" 10581 13281 -5.2 5.2
"284" 10581 13381 -3.33 3.33
"285" 10581 13481 -7.6 7.6
"286" 10581 13581 -3.7 3.7
"287" 10581 13681 -6.47 6.47
"288" 10581 13781 -0.9 0.9
"289" 10581 13881 -7.4 7.4
"290" 10581 13981 -2.39 2.39
"291" 10581 14081 -0.87 0.87
"292" 10581 14181 -3.69 3.69
"293" 10581 14281 -0.2 0.2
"294" 10581 14381 -3.78 3.78
"295" 10581 14481 -1.46 1.46
"296" 10581 14581 -1.29 1.29
"297" 10581 14681 -1.59 1.59
"298" 10581 14781 -5.83 5.83
"299" 10581 14881 -5.8 5.8
"300" 10581 14981 -9.4 9.4
"301" 10581 15081 -9.3 9.3
"302" 10581 15181 -3.7 3.7
"303" 10581 15281 -4.4 4.4
"304" 10581 15381 -4.9 4.9
"305" 10581 15481 -6.9 6.9
"306" 10581 15581 -4 4
"307" 10581 15681 -6.2 6.2
"308" 10581 15781 -1.82 1.82
"309" 10581 15881 -3.2 3.2
"310" 10581 15981 -3.8 3.8
"311" 10581 16081 -3.6 3.6
"312" 10581 16181 -7.3 7.3
"313" 10581 16281 -1.2 1.2
"314" 10581 16381 -6.69 6.69
"315" 10581 16481 -5.29 5.29
"316" 10681 11681 -4.39 4.39
"317" 10681 11781 -4.33 4.33
"318" 10681 11881 -5.12 5.12
"319" 10681 11981 -7.33 7.33
"320" 10681 12081 -0.27 0.27
"321" 10681 12181 -4.39 4.39
"322" 10681 12281 -6.81 6.81
"323" 10681 12381 -0.23 0.23
"324" 10681 12481 -6.35 6.35
"325" 10681 12581 -2.95 2.95
"326" 10681 12681 -5.29 5.29
"327" 10681 12781 -3.52 3.52
"328" 10681 12881 -6.3 6.3
"329" 10681 12981 -14.1 14.1
"330" 10681 13081 -8.7 8.7
"331" 10681 13181 -4.14 4.14
"332" 10681 13281 -6.8 6.8
"333" 10681 13381 -4.13 4.13
"334" 10681 13481 -2.78 2.78
"335" 10681 13581 -5.5 5.5
"336" 10681 13681 -3.63 3.63
