"Win1" "Win2" "DirDirGibbsEnergy" "DirDirAbsGibbsEnergy" "ContactZone" "NumbOfDeletions" "DummyDeletions" "InvInvAbsGibbsEnergy" "Win1GQOverlap" "Win1GQAverageScore" "Win1GQMaxScore" "Win2GQOverlap" "Win2GQAverageScore" "Win2GQMaxScore" "Win12GQOverlap"
"1" 10081 11281 -10.8 10.8 0 0 0 4.41 23 35.9393939393939 53 0 0 0 11.5
"2" 10081 11381 -7.68 7.68 0 0 0 3.65 23 35.9393939393939 53 42 35.8333333333333 43 32.5
"3" 10081 11481 -12.78 12.78 0 0 0 2.93 23 35.9393939393939 53 44 29.5 32 33.5
"4" 10081 11581 -7.73 7.73 0 0 0 1.1 23 35.9393939393939 53 0 0 0 11.5
"5" 10081 11681 -10.8 10.8 0 0 0 0.01 23 35.9393939393939 53 0 0 0 11.5
"6" 10081 11781 -8.3 8.3 0 1 1 3.9 23 35.9393939393939 53 42 29.5714285714286 35 32.5
"7" 10081 11881 -10.71 10.71 0 0 0 5.77 23 35.9393939393939 53 2 30 31 12.5
"8" 10081 11981 -15 15 0 0 0 2.23 23 35.9393939393939 53 21 35.5714285714286 59 22
"9" 10081 12081 -5.57 5.57 0 0 0 0.55 23 35.9393939393939 53 53 37.1428571428571 67 38
"10" 10081 12181 -5.8 5.8 0 0 0 1.27 23 35.9393939393939 53 0 0 0 11.5
"11" 10081 12281 -6.09 6.09 0 0 0 4.41 23 35.9393939393939 53 41 42.0901639344262 78 32
"12" 10081 12381 -13.4 13.4 0 0 0 7.4 23 35.9393939393939 53 56 40.7581699346405 78 39.5
"13" 10081 12481 -10.9 10.9 0 0 0 0 23 35.9393939393939 53 34 34 37 28.5
"14" 10081 12581 -2.58 2.58 0 0 0 5.07 23 35.9393939393939 53 0 0 0 11.5
"15" 10081 12681 -13.7 13.7 0 0 0 0 23 35.9393939393939 53 0 0 0 11.5
"16" 10081 12781 -4.68 4.68 0 0 0 3.78 23 35.9393939393939 53 0 0 0 11.5
"17" 10081 12881 -18.9 18.9 0 0 0 1.96 23 35.9393939393939 53 55 30.25 33 39
"18" 10081 12981 -20.9 20.9 0 0 0 0.98 23 35.9393939393939 53 101 42.4360902255639 90 62
"19" 10081 13081 -11.66 11.66 0 0 0 2.9 23 35.9393939393939 53 52 33.5 36 37.5
"20" 10081 13181 -6.6 6.6 0 0 0 2.33 23 35.9393939393939 53 0 0 0 11.5
"21" 10081 13281 -10.1 10.1 0 0 0 0.17 23 35.9393939393939 53 0 0 0 11.5
"22" 10081 13381 -7.12 7.12 0 0 0 2.52 23 35.9393939393939 53 0 0 0 11.5
"23" 10081 13481 -11.3 11.3 0 0 0 3.58 23 35.9393939393939 53 0 0 0 11.5
"24" 10081 13581 -14.6 14.6 0 0 0 1.81 23 35.9393939393939 53 59 37.8095238095238 62 41
"25" 10081 13681 -9.7 9.7 0 0 0 3.05 23 35.9393939393939 53 101 36.4134615384615 62 62
"26" 10081 13781 -12.7 12.7 0 0 0 5.16 23 35.9393939393939 53 31 36.0877192982456 61 27
"27" 10081 13881 -11.23 11.23 0 0 0 0.03 23 35.9393939393939 53 46 34 42 34.5
"28" 10081 13981 -18.5 18.5 0 0 0 1.26 23 35.9393939393939 53 78 32.4615384615385 42 50.5
"29" 10081 14081 -10.33 10.33 0 0 0 4.14 23 35.9393939393939 53 23 28 28 23
"30" 10081 14181 -12.4 12.4 0 0 0 0 23 35.9393939393939 53 55 33.88 54 39
"31" 10081 14281 -17.3 17.3 0 0 0 5.47 23 35.9393939393939 53 101 33.7536231884058 54 62
"32" 10081 14381 -8.69 8.69 0 1 1 0 23 35.9393939393939 53 75 37.1846153846154 69 49
"33" 10081 14481 -10.1 10.1 0 0 0 0 23 35.9393939393939 53 80 29.1428571428571 37 51.5
"34" 10081 14581 -10.13 10.13 0 0 0 0.06 23 35.9393939393939 53 29 28 31 26
"35" 10081 14681 -11.89 11.89 0 0 0 4.63 23 35.9393939393939 53 12 41.6666666666667 49 17.5
"36" 10081 14781 -10.77 10.77 0 0 0 2.1 23 35.9393939393939 53 96 31.3823529411765 49 59.5
"37" 10081 14881 -18.7 18.7 0 0 0 0.29 23 35.9393939393939 53 0 0 0 11.5
"38" 10081 14981 -4.28 4.28 0 0 0 3.3 23 35.9393939393939 53 0 0 0 11.5
"39" 10081 15081 -13.78 13.78 0 0 0 6.38 23 35.9393939393939 53 0 0 0 11.5
"40" 10081 15181 -13.11 13.11 0 0 0 1 23 35.9393939393939 53 19 26 26 21
