Species	Length	Number	Standard	Symm.	Compl.	Inverted
Eptatretus_burgeri_dloop	10	30	11	3	2	14
Eptatretus_burgeri_dloop	11	8	5	0	0	3
Eptatretus_burgeri_dloop	12	15	6	0	0	9
Eptatretus_burgeri_dloop	14	1	0	0	0	1
Eptatretus_burgeri_dloop	25	2	2	0	0	0
Eptatretus_burgeri_dloop	94	2	2	0	0	0
Eptatretus_burgeri_dloop	115	1	1	0	0	0
Eptatretus_burgeri_dloop	156	1	1	0	0	0
Eptatretus_burgeri_dloop	156	1	1	0	0	0
Eptatretus_burgeri_dloop	370	1	1	0	0	0
Myxine_glutinosa_dloop	10	119	57	21	34	7
Myxine_glutinosa_dloop	11	63	26	24	0	13
Myxine_glutinosa_dloop	12	16	7	2	1	6
Myxine_glutinosa_dloop	13	23	8	6	3	6
Myxine_glutinosa_dloop	14	6	6	0	0	0
Myxine_glutinosa_dloop	15	8	8	0	0	0
Myxine_glutinosa_dloop	16	3	3	0	0	0
Myxine_glutinosa_dloop	17	1	1	0	0	0
Myxine_glutinosa_dloop	19	3	3	0	0	0
Myxine_glutinosa_dloop	21	1	1	0	0	0
Myxine_glutinosa_dloop	25	6	6	0	0	0
Myxine_glutinosa_dloop	28	5	5	0	0	0
Myxine_glutinosa_dloop	43	1	1	0	0	0
Myxine_glutinosa_dloop	104	1	1	0	0	0
Myxine_glutinosa_dloop	104	1	1	0	0	0
Myxine_glutinosa_dloop	447	1	1	0	0	0
Myxine_glutinosa_dloop	546	1	1	0	0	0
Leucoraja_erinacea_dloop	10	8	3	1	3	1
Leucoraja_erinacea_dloop	11	1	0	0	0	1
Leucoraja_erinacea_dloop	13	1	1	0	0	0
Leucoraja_erinacea_dloop	20	1	1	0	0	0
Heterodontus_francisci_cr	10	8	3	2	1	2
Heterodontus_francisci_cr	11	1	0	1	0	0
Squalus_acanthias_cr	10	14	6	3	3	2
Squalus_acanthias_cr	11	4	2	2	0	0
Squalus_acanthias_cr	13	1	1	0	0	0
Squalus_acanthias_cr	14	1	1	0	0	0
Squalus_acanthias_cr	15	2	2	0	0	0
Ginglymostoma_cirratum_dloop	10	6	0	2	1	3
Ginglymostoma_cirratum_dloop	11	4	1	0	2	1
Ginglymostoma_cirratum_dloop	12	2	2	0	0	0
Ginglymostoma_cirratum_dloop	16	1	1	0	0	0
Carcharhinus_obscurus_dloop	10	3	1	1	1	0
Carcharhinus_obscurus_dloop	11	4	3	0	0	1
Carcharhinus_obscurus_dloop	16	1	1	0	0	0
Carcharhinus_plumbeus_dloop	10	4	2	1	0	1
Carcharhinus_plumbeus_dloop	12	1	1	0	0	0
Carcharhinus_plumbeus_dloop	14	1	1	0	0	0
Prionace_glauca_dloop	10	3	1	1	0	1
Prionace_glauca_dloop	11	3	2	1	0	0
Prionace_glauca_dloop	13	2	1	0	1	0
Prionace_glauca_dloop	15	1	1	0	0	0
Prionace_glauca_dloop	19	1	1	0	0	0
Galeocerdo_cuvier_dloop	10	8	6	1	0	1
Galeocerdo_cuvier_dloop	11	5	0	0	3	2
Galeocerdo_cuvier_dloop	12	1	1	0	0	0
Galeocerdo_cuvier_dloop	14	1	1	0	0	0
Galeocerdo_cuvier_dloop	18	1	1	0	0	0
Sphyrna_lewini_dloop	10	6	5	0	1	0
Sphyrna_lewini_dloop	11	3	2	1	0	0
Sphyrna_lewini_dloop	12	8	8	0	0	0
Sphyrna_lewini_dloop	13	1	1	0	0	0
Sphyrna_lewini_dloop	15	1	1	0	0	0
Sphyrna_lewini_dloop	20	2	2	0	0	0
Sphyrna_lewini_dloop	24	1	1	0	0	0
Sphyrna_lewini_dloop	27	1	1	0	0	0
Sphyrna_lewini_dloop	28	1	1	0	0	0
Sphyrna_lewini_dloop	31	1	1	0	0	0
Sphyrna_lewini_dloop	32	1	1	0	0	0
Sphyrna_tiburo_dloop	10	3	3	0	0	0
Sphyrna_tiburo_dloop	11	1	1	0	0	0
Sphyrna_tiburo_dloop	12	2	2	0	0	0
Sphyrna_tiburo_dloop	15	2	2	0	0	0
Sphyrna_tiburo_dloop	16	2	2	0	0	0
Sphyrna_tiburo_dloop	18	2	2	0	0	0
Sphyrna_tiburo_dloop	20	1	1	0	0	0
Sphyrna_tiburo_dloop	22	1	1	0	0	0
Sphyrna_tiburo_dloop	24	1	1	0	0	0
Sphyrna_tiburo_dloop	27	1	1	0	0	0
Sphyrna_tiburo_dloop	32	1	1	0	0	0
Sphyrna_tiburo_dloop	34	1	1	0	0	0
Sphyrna_tiburo_dloop	38	1	1	0	0	0
Scyliorhinus_canicula_cr	10	8	4	3	0	1
Scyliorhinus_canicula_cr	11	2	2	0	0	0
Scyliorhinus_canicula_cr	12	2	1	0	1	0
Scyliorhinus_canicula_cr	15	1	1	0	0	0
Scyliorhinus_canicula_cr	17	1	1	0	0	0
Isurus_paucus_dloop	10	3	0	3	0	0
Isurus_paucus_dloop	11	2	0	0	2	0
Isurus_paucus_dloop	12	1	1	0	0	0
Isurus_paucus_dloop	19	1	1	0	0	0
Chimaera_monstrosa_cr	10	10	3	2	2	3
Chimaera_monstrosa_cr	11	3	1	2	0	0
Chimaera_monstrosa_cr	12	2	1	1	0	0
Chimaera_monstrosa_cr	13	1	1	0	0	0
Chimaera_monstrosa_cr	16	2	2	0	0	0
Chimaera_monstrosa_cr	18	1	1	0	0	0
Chimaera_monstrosa_cr	26	1	1	0	0	0
Chimaera_monstrosa_cr	40	1	1	0	0	0
Lepidosiren_paradoxa_dloop	10	1	0	1	0	0
Lepidosiren_paradoxa_dloop	11	4	1	1	1	1
Protopterus_aethiopicus_dloop	13	1	1	0	0	0
Protopterus_aethiopicus_dloop	21	1	1	0	0	0
Protopterus_annectens_dloop	11	2	2	0	0	0
Protopterus_annectens_dloop	17	1	1	0	0	0
Neoceratodus_forsteri_dloop	10	4	1	1	1	1
Neoceratodus_forsteri_dloop	11	3	0	1	1	1
Neoceratodus_forsteri_dloop	12	1	1	0	0	0
Neoceratodus_forsteri_dloop	13	1	1	0	0	0
Latimeria_chalumnae_dloop	11	1	0	1	0	0
Latimeria_chalumnae_dloop	21	1	1	0	0	0
Latimeria_chalumnae_dloop	22	1	1	0	0	0
Latimeria_chalumnae_dloop	29	1	1	0	0	0
Acipenser_gueldenstaedtii_dloop	10	2	0	1	0	1
Acipenser_gueldenstaedtii_dloop	11	1	1	0	0	0
Acipenser_gueldenstaedtii_dloop	13	1	1	0	0	0
Acipenser_gueldenstaedtii_dloop	96	1	1	0	0	0
Acipenser_stellatus_dloop	10	3	3	0	0	0
Acipenser_stellatus_dloop	12	1	1	0	0	0
Acipenser_stellatus_dloop	204	1	1	0	0	0
Acipenser_transmontanus_dloop	10	1	1	0	0	0
Acipenser_transmontanus_dloop	11	1	1	0	0	0
Acipenser_transmontanus_dloop	198	1	1	0	0	0
Acipenser_ruthenus_dloop	10	1	1	0	0	0
Acipenser_ruthenus_dloop	11	2	1	0	0	1
Acipenser_ruthenus_dloop	281	1	1	0	0	0
Acipenser_medirostris_dloop	10	3	1	0	1	1
Acipenser_medirostris_dloop	11	4	1	2	0	1
