Deletions;5' breakpoint;3' breakpoint;Deletion length - bp;Deletion of replication origins;Location of the deleted region;Single mtDNA deletions;Multiple mtDNA deletions;Healthy tissues;Parkinson Disease;Inclusion Body Myositis;Tumour;Other clinical features;References
83:16095;83;16095;16011;OH and OL;Removing full minor and part o(...);;Patients with pathogenic MGME1(...);;;;;;[327]
105:112;105;112;6;None;Inside the major arc;;;Normal tissues (polymorphism);;;;;[53-57]
114:12305;114;12305;12190;OH and OL;Removing full minor and part o(...);;Patients with pathogenic MGME1(...);;;;;;[327]
167:16223;167;16223;16055;OH and OL;Removing full minor and part o(...);;Patients with pathogenic MGME1(...);;;;;;[327]
174:3623;174;3623;3448;OH;Removing part of minor and maj(...);;;;;;;Skeletal muscle biopsies and �(...);[329]
191:4196;191;4196;4004;OH;Removing part of minor and maj(...);;;;;;;Skeletal muscle biopsies and �(...);[329]
195:15196;195;15196;15000;OH and OL;Removing full minor and part o(...);;Patients with pathogenic MGME1(...);;;;;;[327]
219:4571;219;4571;4351;OH;Removing part of minor and maj(...);;;;;;;Skeletal muscle biopsies and �(...);[329]
261:16070;261;16070;15808;OH and OL;Removing full minor and part o(...);;Patients with pathogenic MGME1(...);;;;;;[327]
306:357;306;357;50;None;Inside the major arc;;;Controls;;;Hepatocellular carcinoma;Hypertension; Type 2 diabetes;(...);[5; 35; 308; 311]
307:13787;307;13787;13479;OH and OL;Removing full minor and part o(...);;Patients with pathogenic MGME1(...);;;;;;[327]
309:15540;309;15540;15230;OH and OL;Removing full minor and part o(...);;Patients with pathogenic MGME1(...);;;;;;[327]
314:16194;314;16194;15879;OH and OL;Removing full minor and part o(...);;Patients with pathogenic MGME1(...);;;;;;[327]
315:16194;315;16194;15878;OH and OL;Removing full minor and part o(...);;Patients with pathogenic MGME1(...);;;;;;[327]
382:2990;382;2990;2607;OH;Removing part of minor and maj(...);;;;;;;Skeletal muscle biopsies and �(...);[329]
398:16062;398;16062;15663;OH and OL;Removing full minor and part o(...);;Patients with pathogenic MGME1(...);;;;;;[327]
452:15198;452;15198;14745;OL;Removing part of minor and maj(...);;Patients with pathogenic MGME1(...);;;;;;[327]
460:13523;460;13523;13062;OL;Removing part of minor and maj(...);;Patients with pathogenic MGME1(...);;;;;;[327]
460:14430;460;14430;13969;OL;Removing part of minor and maj(...);;Patients with pathogenic MGME1(...);;;;;;[327]
461:13789;461;13789;13327;OL;Removing part of minor and maj(...);;Patients with pathogenic MGME1(...);;;;;;[327]
463:12080;463;12080;11616;OL;Removing part of minor and maj(...);;;Aged tissues;;;;;[6]
463:3576;463;3576;3112;None;Inside the minor arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
464:3803;464;3803;3338;None;Inside the minor arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
